[2025-06-24 22:33:43,790: INFO: main: Logging is implemented]
[2025-06-25 13:38:44,530: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-25 13:38:44,552: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-25 13:38:44,553: INFO: common: created directory at: artifacts]
[2025-06-25 13:41:38,006: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-25 13:41:38,007: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-25 13:41:38,009: INFO: common: created directory at: artifacts]
[2025-06-25 13:41:38,009: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-25 13:41:39,704: INFO: 619097867: File is downloaded]
[2025-06-25 14:00:38,042: INFO: main: Data Ingestion stage initiated]
[2025-06-25 14:00:38,043: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-25 14:00:38,043: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-25 14:00:38,043: INFO: common: created directory at: artifacts]
[2025-06-25 14:00:38,044: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-25 14:00:39,829: INFO: data_ingestion: File is downloaded]
[2025-06-25 14:00:39,917: INFO: main: stage Data Ingestion stage]
[2025-06-25 14:31:11,464: INFO: config: PyTorch version 2.7.1 available.]
[2025-06-25 14:31:26,515: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-25 14:31:26,518: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-25 14:31:26,519: INFO: common: created directory at: artifacts]
[2025-06-25 14:31:26,521: INFO: common: created directory at: artifacts/data_transformation]
[2025-06-25 14:45:37,559: INFO: config: PyTorch version 2.7.1 available.]
[2025-06-25 14:45:37,702: INFO: main: Data Ingestion stage initiated]
[2025-06-25 14:45:37,703: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-25 14:45:37,703: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-25 14:45:37,703: INFO: common: created directory at: artifacts]
[2025-06-25 14:45:37,703: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-25 14:45:37,703: INFO: data_ingestion: File already exists]
[2025-06-25 14:45:37,769: INFO: main: stage Data Ingestion stage]
[2025-06-25 14:45:37,769: INFO: main: Data Transformation Stage initiated]
[2025-06-25 14:45:37,769: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-25 14:45:37,770: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-25 14:45:37,770: INFO: common: created directory at: artifacts]
[2025-06-25 14:45:37,770: INFO: common: created directory at: artifacts/data_transformation]
[2025-06-25 14:45:40,584: INFO: main: stage Data Transformation Stage]
